block_id,test_start,test_end,feature_set,model,magnitude_method,rmse_return,mae_return,corr_return,direction_bacc_from_return,direction_acc_from_return,n_test,n_features
0,2020-05-01,2020-11-01,colombia_plus_global_full,XGBRegressor,direct_return_regression,0.02351389206492111,0.017793383587604367,0.6308790717456951,0.7445238095238096,0.7336956521739131,184,1000
1,2020-11-01,2021-05-01,colombia_plus_global_full,XGBRegressor,direct_return_regression,0.018500229683368802,0.015306621854693432,0.5811150269181149,0.7824597464885235,0.7679558011049724,181,1000
2,2021-05-01,2021-11-01,colombia_plus_global_full,XGBRegressor,direct_return_regression,0.010923621547863355,0.008575330106894546,0.8126953176811098,0.8404907975460123,0.717391304347826,184,1000
3,2021-11-01,2022-05-01,colombia_plus_global_full,XGBRegressor,direct_return_regression,0.012646192242253121,0.010101036715523452,0.7726960674221875,0.7854688267059401,0.7734806629834254,181,1000
4,2022-05-01,2022-11-01,colombia_plus_global_full,XGBRegressor,direct_return_regression,0.01773055220796496,0.01462239120844261,0.7921230097670567,0.8618171194858312,0.9021739130434783,184,1000
5,2022-11-01,2023-05-01,colombia_plus_global_full,XGBRegressor,direct_return_regression,0.017661281495264122,0.014400447794745332,0.7616893991847882,0.6896616541353383,0.7348066298342542,181,1000
6,2023-05-01,2023-11-01,colombia_plus_global_full,XGBRegressor,direct_return_regression,0.011446768816123358,0.008417215850912652,0.4024568988781024,0.7759275489336839,0.75,184,1000
7,2023-11-01,2024-05-01,colombia_plus_global_full,XGBRegressor,direct_return_regression,0.020298425124917807,0.014489394907580328,0.7907110157190533,0.5761904761904761,0.6208791208791209,182,1000
8,2024-05-01,2024-11-01,colombia_plus_global_full,XGBRegressor,direct_return_regression,0.013853225123872713,0.010607132226058876,0.7480450951680478,0.6993369499698614,0.7391304347826086,184,1000
9,2024-11-01,2025-05-01,colombia_plus_global_full,XGBRegressor,direct_return_regression,0.01642507925801229,0.012787610195787832,0.8576825461005464,0.6185567010309279,0.5911602209944752,181,1000
